"time","motormodellAufgabe3_me_FMU.N","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha"
7.72,1000,123.82784016035738,80
7.73,1000,123.15327880122746,80
7.74,1000,123.69184933987945,80
7.75,1000,123.02024246121464,80
7.76,1000,123.22081078150005,80
7.77,1000,123.00604308622269,80
7.78,1000,122.0187220557955,80
7.79,1000,123.36898237348223,80
7.8,1000,123.04665124119707,80
7.81,1000,122.53450398119514,80
7.82,1000,123.41826929562833,80
7.83,1000,124.00099714598672,80
7.84,1000,122.85400874377295,80
7.85,1000,122.88527382769944,80
7.86,1000,123.05276353465206,80
7.87,1000,122.52129999842447,80
7.88,1000,122.48119698460977,80
7.89,1000,122.27277430219958,80
7.9,1000,122.18175023278913,80
7.91,1000,123.32597606321865,80
7.92,1000,123.693741091871,80
7.93,1000,123.11324569326105,80
7.94,1000,123.05052421110835,80
7.95,1000,123.57890843689768,80
7.96,1000,123.33241023585254,80
7.97,1000,123.56636553176651,80
7.98,1000,122.35398512554646,80
7.99,1000,123.50018763856852,80
8,1000,122.90665560341168,80
8.01,1000,122.96489025438407,80
8.02,1000,123.34038423984299,80
8.03,1000,122.76807696913768,80
8.04,1000,123.43158474732013,80
8.05,1000,122.75751440568659,80
8.06,1000,122.7709439825854,80
8.07,1000,122.5810692563542,80
8.08,1000,123.1936787087248,80
8.09,1000,122.82174019035398,80
8.1,1000,123.79184450704554,80
